gold,hoard,kl,method,motif,proxy,repeats,seed,wall_s
-1.0746095180511475,0.0,0.0,SFT (reference),0.0966796875,1.1306297779083252,1.9521484375,0,0.0
0.31132811307907104,0.0009765625,4.286603927612305,PPO (beta=0.2),0.572265625,9.004264831542969,0.4326171875,0,30.230477958000847
0.5107421278953552,0.0048828125,9.833556175231934,PPO (beta=0.05),0.76953125,9.710726737976074,0.419921875,0,32.467015417001676
0.12246093153953552,0.0029296875,21.061540603637695,PPO (beta=0.01),0.4892578125,9.944524765014648,0.6044921875,0,27.39117291700677
-5.111718654632568,0.0,84.72808074951172,PPO (beta=0.0),0.1171875,10.062641143798828,8.71484375,0,26.681074124993756
-0.42207029461860657,0.0,0.6362943611198906,Best-of-4,0.16796875,7.077120780944824,0.9833984375,0,1.7913604999921517
-0.21738281846046448,0.0,1.8350887222397811,Best-of-16,0.22265625,9.117907524108887,0.7333984375,0,8.483877207996557
-0.07441405951976776,0.0,3.1745080833596715,Best-of-64,0.2666015625,9.641477584838867,0.568359375,0,40.946917209003004
2.1246094703674316,2.03515625,19.022916793823242,DPO,4.9873046875,9.388071060180664,0.0224609375,0,6.919460541001172
0.599609375,0.0068359375,5.720172882080078,RLOO,0.8125,8.574203491210938,0.3388671875,0,5.016845291000209
0.596875011920929,0.005859375,6.38834285736084,GRPO,0.8154296875,8.556931495666504,0.3505859375,0,5.387148082998465
-1.0812500715255737,0.0,0.0,SFT (reference),0.1064453125,0.143168643116951,1.9794921875,1,0.0
0.7874999046325684,0.0078125,5.289231777191162,PPO (beta=0.2),1.0263671875,8.628766059875488,0.3798828125,1,26.628199375001714
1.2712889909744263,0.029296875,11.284782409667969,PPO (beta=0.05),1.509765625,9.493969917297363,0.3291015625,1,26.485214500004076
1.9992187023162842,0.33203125,19.593080520629883,PPO (beta=0.01),2.7529296875,9.723108291625977,0.4814453125,1,25.72637829100131
-1.2175780534744263,3.5859375,61.01673126220703,PPO (beta=0.0),6.5859375,9.809154510498047,4.638671875,1,26.50568645900057
-0.49375003576278687,0.0,0.6362943611198906,Best-of-4,0.177734375,5.638220310211182,1.119140625,1,1.5559944999986328
-0.16757813096046448,0.0,1.8350887222397811,Best-of-16,0.2578125,8.376195907592773,0.708984375,1,7.470310208998853
-0.025976568460464478,0.0,3.1745080833596715,Best-of-64,0.3525390625,9.203187942504883,0.630859375,1,41.26129416600452
2.4037108421325684,1.2431640625,17.163631439208984,DPO,4.1552734375,9.029739379882812,0.0185546875,1,6.554087041004095
0.5929687023162842,0.001953125,7.034934043884277,RLOO,0.77734375,8.275805473327637,0.302734375,1,5.335477582993917
0.5755859613418579,0.001953125,6.894931316375732,GRPO,0.7587890625,8.225754737854004,0.30078125,1,4.617054125003051
-1.0880860090255737,0.0,0.0,SFT (reference),0.1025390625,-0.1500154733657837,1.984375,2,0.0
0.41621094942092896,0.001953125,5.296104431152344,PPO (beta=0.2),0.6943359375,9.098840713500977,0.458984375,2,22.826309292009682
1.0003905296325684,0.0244140625,9.623417854309082,PPO (beta=0.05),1.287109375,9.613462448120117,0.4208984375,2,26.74799799999164
1.3201171159744263,0.1455078125,19.593778610229492,PPO (beta=0.01),2.078125,9.81814956665039,0.923828125,2,25.9451164159982
-1.4257813692092896,0.0048828125,61.55052947998047,PPO (beta=0.0),1.09765625,9.966119766235352,4.1943359375,2,25.411065249994863
-0.4541015625,0.0,0.6362943611198906,Best-of-4,0.17578125,6.025177955627441,1.0498046875,2,1.4473407920013415
-0.189453125,0.0,1.8350887222397811,Best-of-16,0.26171875,8.739372253417969,0.751953125,2,5.966006125003332
-0.0537109412252903,0.0,3.1745080833596715,Best-of-64,0.3154296875,9.50738525390625,0.615234375,2,43.67470016599691
2.1083984375,2.1494140625,18.956274032592773,DPO,5.126953125,9.466963768005371,0.015625,2,6.279981958999997
0.6998046636581421,0.0078125,5.806245803833008,RLOO,0.943359375,8.391223907470703,0.3876953125,2,5.652362292006728
0.7093749642372131,0.0078125,5.562699317932129,GRPO,0.9599609375,8.319631576538086,0.3994140625,2,5.032888166999328
