beta,gold,hoard,kl,method,motif,proxy,repeats,rm_agreement,seed,step
0.0,-1.8798829317092896,0.0,46.805023193359375,PPO,0.2646484375,9.891162872314453,3.57421875,0.5281385183334351,0,30
0.0,-3.9619140625,0.0,65.36648559570312,PPO,0.142578125,9.932140350341797,6.8408203125,0.40833333134651184,0,35
0.0,-6.059374809265137,0.0,84.8199234008789,PPO,0.1298828125,9.972200393676758,10.3154296875,0.44999998807907104,0,40
0.0,-7.6337890625,0.0,98.90525817871094,PPO,0.080078125,9.99506950378418,12.8564453125,0.43326038122177124,0,45
0.0,-7.623242378234863,0.0,99.70216369628906,PPO,0.0390625,10.013242721557617,12.7705078125,0.47816091775894165,0,50
0.0,-7.008984565734863,0.0,94.06836700439453,PPO,0.0615234375,10.018232345581055,11.7841796875,0.406521737575531,0,55
0.0,-6.564648628234863,0.0,91.41780853271484,PPO,0.060546875,10.029603958129883,11.0419921875,0.5528090000152588,0,60
0.0,-5.659570693969727,0.0,87.43773651123047,PPO,0.1083984375,10.049674987792969,9.61328125,0.503311276435852,0,65
0.0,-5.111718654632568,0.0,84.72808074951172,PPO,0.1171875,10.062641143798828,8.71484375,0.4781659245491028,0,69
0.2,-0.6732422113418579,0.0,0.23958146572113037,PPO,0.140625,2.3733673095703125,1.3564453125,0.6797065734863281,1,0
0.2,0.1230468675494194,0.0,3.307803153991699,PPO,0.4833984375,7.007181644439697,0.6005859375,0.593137264251709,1,5
0.2,0.940625011920929,0.021484375,6.3508195877075195,PPO,1.228515625,8.293973922729492,0.4296875,0.6311110854148865,1,10
0.2,0.844531238079071,0.0263671875,6.931982040405273,PPO,1.1767578125,8.46445083618164,0.4921875,0.5911111235618591,1,15
0.2,0.7291015386581421,0.0166015625,7.940300941467285,PPO,1.0869140625,8.481822967529297,0.5576171875,0.6171171069145203,1,20
0.2,0.6144530773162842,0.0107421875,7.648164749145508,PPO,0.951171875,8.486364364624023,0.5361328125,0.6247139573097229,1,25
0.2,0.7728515863418579,0.01171875,7.343549728393555,PPO,1.1044921875,8.649404525756836,0.525390625,0.6036866307258606,1,30
0.2,0.8546874523162842,0.015625,6.8402204513549805,PPO,1.11328125,8.68380355834961,0.39453125,0.6235565543174744,1,35
0.2,0.6865234375,0.009765625,6.48637056350708,PPO,0.9462890625,8.663928985595703,0.41015625,0.6133651733398438,1,40
0.2,0.6154296398162842,0.0068359375,5.778729438781738,PPO,0.8798828125,8.607000350952148,0.4248046875,0.5755395889282227,1,45
0.2,0.7035155892372131,0.0048828125,5.467783451080322,PPO,0.9453125,8.586429595947266,0.3916015625,0.6372548937797546,1,50
0.2,0.6624999642372131,0.0048828125,5.565746307373047,PPO,0.9072265625,8.618480682373047,0.396484375,0.588652491569519,1,55
0.2,0.8019530773162842,0.005859375,5.704014778137207,PPO,1.017578125,8.749296188354492,0.345703125,0.6473429799079895,1,60
0.2,0.6812499761581421,0.0068359375,5.401196479797363,PPO,0.90234375,8.727131843566895,0.3525390625,0.6081730723381042,1,65
0.2,0.7874999046325684,0.0078125,5.289231777191162,PPO,1.0263671875,8.628766059875488,0.3798828125,0.6140776872634888,1,69
0.05,-0.6732422113418579,0.0,0.23958149552345276,PPO,0.140625,2.3733673095703125,1.3564453125,0.6797065734863281,1,0
0.05,0.14082030951976776,0.0,3.773822546005249,PPO,0.482421875,7.184535026550293,0.5693359375,0.5990220308303833,1,5
0.05,1.1345702409744263,0.033203125,8.397979736328125,PPO,1.4189453125,8.65362548828125,0.396484375,0.6179245114326477,1,10
0.05,1.96875,0.361328125,12.838252067565918,PPO,2.7470703125,9.147789001464844,0.4541015625,0.5641592741012573,1,15
0.05,1.970703125,0.9130859375,16.754514694213867,PPO,3.650390625,9.227776527404785,0.6689453125,0.5389610528945923,1,20
0.05,1.9603517055511475,1.1005859375,17.77532196044922,PPO,3.892578125,9.34643840789795,0.65234375,0.4847826063632965,1,25
0.05,1.9773437976837158,0.4794921875,15.165000915527344,PPO,2.99609375,9.350133895874023,0.5791015625,0.5144124031066895,1,30
0.05,1.708398461341858,0.203125,12.852855682373047,PPO,2.279296875,9.306235313415527,0.4775390625,0.5406593680381775,1,35
0.05,1.5275390148162842,0.1181640625,12.438323974609375,PPO,1.953125,9.35850715637207,0.43359375,0.6137930750846863,1,40
0.05,1.2728514671325684,0.052734375,11.835119247436523,PPO,1.58984375,9.33508586883545,0.4052734375,0.6232876777648926,1,45
0.05,1.289648413658142,0.048828125,12.389673233032227,PPO,1.5888671875,9.461690902709961,0.384765625,0.5825688242912292,1,50
0.05,0.9376952648162842,0.01171875,11.802509307861328,PPO,1.232421875,9.436358451843262,0.4638671875,0.5950226187705994,1,55
0.05,1.226171851158142,0.03515625,11.853885650634766,PPO,1.4775390625,9.496427536010742,0.3369140625,0.6186046600341797,1,60
0.05,1.1720702648162842,0.0185546875,11.349821090698242,PPO,1.3720703125,9.462947845458984,0.2900390625,0.6127562522888184,1,65
0.05,1.2712889909744263,0.029296875,11.284782409667969,PPO,1.509765625,9.493969917297363,0.3291015625,0.6215596199035645,1,69
0.01,-0.6732422113418579,0.0,0.23958155512809753,PPO,0.140625,2.3733673095703125,1.3564453125,0.6797065734863281,1,0
0.01,0.14140623807907104,0.0,3.893059492111206,PPO,0.482421875,7.216860294342041,0.568359375,0.5867970585823059,1,5
0.01,1.0669920444488525,0.037109375,9.06455135345459,PPO,1.3779296875,8.714057922363281,0.431640625,0.6026785969734192,1,10
0.01,2.115429639816284,0.6025390625,15.24355697631836,PPO,3.263671875,9.254755973815918,0.5078125,0.5292792916297913,1,15
0.01,1.9169921875,1.21484375,20.227523803710938,PPO,4.1005859375,9.372163772583008,0.8046875,0.5176211595535278,1,20
0.01,1.491796851158142,1.7099609375,25.64227867126465,PPO,4.650390625,9.458208084106445,1.2744140625,0.5148935914039612,1,25
0.01,1.713476538658142,1.330078125,24.361812591552734,PPO,4.2646484375,9.487128257751465,1.1484375,0.48739495873451233,1,30
0.01,1.870117425918579,1.630859375,23.823820114135742,PPO,4.6015625,9.601954460144043,0.7470703125,0.46300211548805237,1,35
0.01,1.6626955270767212,2.0654296875,24.326461791992188,PPO,5.0458984375,9.660029411315918,0.8193359375,0.4309978783130646,1,40
0.01,1.8625000715255737,1.4248046875,22.48218536376953,PPO,4.330078125,9.656268119812012,0.7880859375,0.46875,1,45
0.01,1.9634766578674316,1.185546875,22.96103286743164,PPO,4.0498046875,9.68313980102539,0.7109375,0.43589743971824646,1,50
0.01,2.06640625,0.7158203125,20.089996337890625,PPO,3.4189453125,9.669032096862793,0.583984375,0.4967462122440338,1,55
0.01,1.9712891578674316,0.3916015625,19.704675674438477,PPO,2.865234375,9.69078540802002,0.576171875,0.5585585832595825,1,60
0.01,1.8671873807907104,0.2802734375,19.56045150756836,PPO,2.5625,9.711284637451172,0.5048828125,0.5726872086524963,1,65
0.01,1.9992187023162842,0.33203125,19.593080520629883,PPO,2.7529296875,9.723108291625977,0.4814453125,0.5412026643753052,1,69
0.0,-0.6732422113418579,0.0,0.23958159983158112,PPO,0.140625,2.3733673095703125,1.3564453125,0.6797065734863281,1,0
0.0,0.1708984375,0.0,3.9375483989715576,PPO,0.4931640625,7.218375205993652,0.537109375,0.6150000095367432,1,5
0.0,1.1453124284744263,0.033203125,9.393869400024414,PPO,1.4384765625,8.742935180664062,0.4111328125,0.5730858445167542,1,10
0.0,2.1037111282348633,0.5537109375,15.404184341430664,PPO,3.1396484375,9.266921043395996,0.4345703125,0.5797752737998962,1,15
0.0,1.6423828601837158,2.2197265625,23.048555374145508,PPO,5.1923828125,9.403952598571777,0.7373046875,0.48076921701431274,1,20
0.0,0.7757813930511475,3.728515625,32.19493103027344,PPO,6.7275390625,9.471604347229004,1.2197265625,0.4723404347896576,1,25
0.0,0.8947266936302185,2.6767578125,33.64311218261719,PPO,5.6669921875,9.534891128540039,1.7080078125,0.43983402848243713,1,30
0.0,0.5845704078674316,3.2392578125,43.35101318359375,PPO,6.2392578125,9.696197509765625,1.8662109375,0.47558385133743286,1,35
0.0,-0.4517577290534973,3.43359375,54.14613723754883,PPO,6.43359375,9.750139236450195,3.4638671875,0.4958677589893341,1,40
0.0,-0.729687511920929,3.7109375,57.53496551513672,PPO,6.7109375,9.786788940429688,3.7421875,0.4802494943141937,1,45
0.0,-0.7552734017372131,3.357421875,60.95823669433594,PPO,6.357421875,9.793474197387695,4.0205078125,0.44948452711105347,1,50
0.0,-1.0939452648162842,3.7119140625,62.78445053100586,PPO,6.7119140625,9.798322677612305,4.3486328125,0.4067796468734741,1,55
0.0,-0.9425780773162842,3.123046875,62.73643493652344,PPO,6.1220703125,9.794234275817871,4.4873046875,0.4116424024105072,1,60
0.0,-1.075585961341858,3.255859375,62.268009185791016,PPO,6.255859375,9.798401832580566,4.6220703125,0.4553014636039734,1,65
0.0,-1.2175780534744263,3.5859375,61.01673126220703,PPO,6.5859375,9.809154510498047,4.638671875,0.43983402848243713,1,69
0.2,-0.7185547351837158,0.0,0.17952680587768555,PPO,0.126953125,2.0483956336975098,1.4091796875,0.7562814354896545,2,0
0.2,0.0849609225988388,0.0,4.593700408935547,PPO,0.421875,7.263059139251709,0.5615234375,0.6554216742515564,2,5
0.2,0.584179699420929,0.009765625,6.437553882598877,PPO,0.9248046875,8.505261421203613,0.544921875,0.6666666865348816,2,10
0.2,0.7455077767372131,0.0126953125,6.942172050476074,PPO,1.1201171875,8.692014694213867,0.5947265625,0.5762332081794739,2,15
